haskellPackages.amazonka-dynamodb                            amazonka-dynamodb-1.4.5
haskellPackages.amazonka-dynamodb-streams                    amazonka-dynamodb-streams-1.4.5
haskellPackages.amazonka-ec2                                 amazonka-ec2-1.4.5
haskellPackages.amazonka-ecr                                 amazonka-ecr-1.4.5
haskellPackages.amazonka-ecs                                 amazonka-ecs-1.4.5
haskellPackages.amazonka-efs                                 amazonka-efs-1.4.5
haskellPackages.amazonka-elasticache                         amazonka-elasticache-1.4.5
haskellPackages.amazonka-elasticbeanstalk                    amazonka-elasticbeanstalk-1.4.5
haskellPackages.amazonka-elasticsearch                       amazonka-elasticsearch-1.4.5
haskellPackages.amazonka-elastictranscoder                   amazonka-elastictranscoder-1.4.5
haskellPackages.amazonka-elb                                 amazonka-elb-1.4.5
haskellPackages.amazonka-elbv2                               amazonka-elbv2-1.4.5
haskellPackages.amazonka-emr                                 amazonka-emr-1.4.5
haskellPackages.amazonka-gamelift                            amazonka-gamelift-1.4.5
haskellPackages.amazonka-glacier                             amazonka-glacier-1.4.5
haskellPackages.amazonka-health                              amazonka-health-1.4.5
haskellPackages.amazonka-iam                                 amazonka-iam-1.4.5
haskellPackages.amazonka-importexport                        amazonka-importexport-1.4.5
haskellPackages.amazonka-inspector                           amazonka-inspector-1.4.5
haskellPackages.amazonka-iot                                 amazonka-iot-1.4.5
haskellPackages.amazonka-iot-dataplane                       amazonka-iot-dataplane-1.4.5
haskellPackages.amazonka-kinesis                             amazonka-kinesis-1.4.5
haskellPackages.amazonka-kinesis-analytics                   amazonka-kinesis-analytics-1.4.5
haskellPackages.amazonka-kinesis-firehose                    amazonka-kinesis-firehose-1.4.5
haskellPackages.amazonka-kms                                 amazonka-kms-1.4.5
haskellPackages.amazonka-lambda                              amazonka-lambda-1.4.5
haskellPackages.amazonka-lightsail                           amazonka-lightsail-1.4.5
haskellPackages.amazonka-marketplace-analytics               amazonka-marketplace-analytics-1.4.5
haskellPackages.amazonka-marketplace-metering                amazonka-marketplace-metering-1.4.5
haskellPackages.amazonka-ml                                  amazonka-ml-1.4.5
haskellPackages.amazonka-opsworks                            amazonka-opsworks-1.4.5
haskellPackages.amazonka-opsworks-cm                         amazonka-opsworks-cm-1.4.5
haskellPackages.amazonka-pinpoint                            amazonka-pinpoint-1.4.5
haskellPackages.amazonka-polly                               amazonka-polly-1.4.5
